Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2024-09-17 18:30:00,0.3369,0.337,0.3336,0.3345,1791956.8,2024-09-17 18:59:59.999,600484.43855,2649,812490.00000000,272096.85964000,0
2024-09-17 19:00:00,0.3344,0.3353,0.3337,0.335,937277.9,2024-09-17 19:29:59.999,313582.90541,1815,395242.30000000,132271.12225000,0
2024-09-17 19:30:00,0.335,0.335,0.3313,0.3336,2208832.9,2024-09-17 19:59:59.999,736275.04247,4477,1093189.90000000,364104.39047000,0
2024-09-17 20:00:00,0.3336,0.335,0.3326,0.3348,894426.9,2024-09-17 20:29:59.999,298681.07478,1547,481594.30000000,160892.23908000,0
2024-09-17 20:30:00,0.3349,0.3354,0.3334,0.3336,1346544.8,2024-09-17 20:59:59.999,450177.52748,2292,607653.40000000,203126.92050000,0
2024-09-17 21:00:00,0.3336,0.3356,0.3334,0.3353,672608.5,2024-09-17 21:29:59.999,225062.15052,1077,447264.50000000,149620.59894000,0
2024-09-17 21:30:00,0.3353,0.3357,0.334,0.3344,1188494.7,2024-09-17 21:59:59.999,398167.31768,2050,516740.10000000,173101.42864000,0
2024-09-17 22:00:00,0.3343,0.3345,0.3325,0.3328,530814.5,2024-09-17 22:29:59.999,177085.24486,1517,249315.20000000,83198.75538000,0
2024-09-17 22:30:00,0.3329,0.3345,0.3327,0.3342,865520.1,2024-09-17 22:59:59.999,288964.10515,1556,638119.70000000,213017.63406000,0
2024-09-17 23:00:00,0.3342,0.3349,0.3335,0.3337,1401905.6,2024-09-17 23:29:59.999,468793.02084,2044,771946.00000000,258169.33067000,0
2024-09-17 23:30:00,0.3336,0.3341,0.3334,0.3338,286433.7,2024-09-17 23:59:59.999,95604.15825,886,118975.50000000,39713.48844000,0
2024-09-18 00:00:00,0.3337,0.3337,0.3314,0.3318,1275547.5,2024-09-18 00:29:59.999,424106.82859,2454,584158.70000000,194294.12762000,0
2024-09-18 00:30:00,0.3317,0.3337,0.3306,0.3331,1569467.0,2024-09-18 00:59:59.999,521174.0161,2542,1002286.20000000,332878.52884000,0
2024-09-18 01:00:00,0.3331,0.3341,0.3326,0.3338,587348.0,2024-09-18 01:29:59.999,195689.71856,1421,230869.60000000,76947.07382000,0
2024-09-18 01:30:00,0.3337,0.3342,0.3328,0.3332,580255.5,2024-09-18 01:59:59.999,193561.84098,1635,310599.40000000,103655.46709000,0
2024-09-18 02:00:00,0.3332,0.3342,0.333,0.3339,256921.2,2024-09-18 02:29:59.999,85738.39957,911,152691.50000000,50948.30438000,0
2024-09-18 02:30:00,0.3339,0.3378,0.3339,0.3371,1774116.7,2024-09-18 02:59:59.999,596923.23872,2627,1240809.80000000,417572.82629000,0
2024-09-18 03:00:00,0.3372,0.339,0.3371,0.3381,2210275.5,2024-09-18 03:29:59.999,746719.78666,2983,990956.60000000,334858.54899000,0
2024-09-18 03:30:00,0.3381,0.3383,0.3366,0.3366,1051400.3,2024-09-18 03:59:59.999,354880.76944,1567,350275.00000000,118327.53653000,0
2024-09-18 04:00:00,0.3366,0.3374,0.3363,0.3365,553698.4,2024-09-18 04:29:59.999,186427.0632,1429,260513.20000000,87729.96636000,0
2024-09-18 04:30:00,0.3365,0.3365,0.3342,0.3349,1018330.6,2024-09-18 04:59:59.999,341346.63301,1575,369190.40000000,123708.86485000,0
2024-09-18 05:00:00,0.335,0.3353,0.3339,0.3353,768111.5,2024-09-18 05:29:59.999,257180.72557,1673,519493.80000000,173957.81208000,0
2024-09-18 05:30:00,0.3353,0.3353,0.3339,0.3342,1123532.2,2024-09-18 05:59:59.999,375726.17428,2088,528454.70000000,176696.17248000,0
2024-09-18 06:00:00,0.3342,0.3353,0.3338,0.3352,374277.9,2024-09-18 06:29:59.999,125265.02304,1124,165720.80000000,55485.15696000,0
2024-09-18 06:30:00,0.3353,0.3355,0.3344,0.3345,941267.8,2024-09-18 06:59:59.999,315412.43965,1526,698808.70000000,234200.17594000,0
2024-09-18 07:00:00,0.3346,0.3351,0.334,0.3342,457982.8,2024-09-18 07:29:59.999,153165.21657,1534,257457.50000000,86108.53751000,0
2024-09-18 07:30:00,0.3343,0.3344,0.3333,0.3339,801773.5,2024-09-18 07:59:59.999,267628.76009,1830,523346.60000000,174716.66318000,0
2024-09-18 08:00:00,0.3339,0.3339,0.3317,0.3318,1177482.6,2024-09-18 08:29:59.999,391725.68459,3034,581384.40000000,193385.14461000,0
2024-09-18 08:30:00,0.3319,0.3325,0.3318,0.3319,660636.6,2024-09-18 08:59:59.999,219352.54427,1587,339168.60000000,112616.46862000,0
2024-09-18 09:00:00,0.3319,0.3321,0.3307,0.3314,1007625.8,2024-09-18 09:29:59.999,333985.40407,2529,554360.10000000,183764.47127000,0
2024-09-18 09:30:00,0.3314,0.3315,0.3285,0.3289,2036002.7,2024-09-18 09:59:59.999,671686.60007,4228,732905.90000000,241973.50635000,0
2024-09-18 10:00:00,0.3288,0.3305,0.3282,0.3302,1837475.7,2024-09-18 10:29:59.999,605237.00924,5006,1076597.10000000,354739.42118000,0
2024-09-18 10:30:00,0.3302,0.3312,0.3299,0.3311,644461.7,2024-09-18 10:59:59.999,213142.88359,2059,334691.00000000,110681.85761000,0
2024-09-18 11:00:00,0.3311,0.3328,0.3307,0.3326,1033418.0,2024-09-18 11:29:59.999,342596.61702,3441,652353.40000000,216285.07708000,0
