Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2024-09-18,546.2,559.7,536.8,559.5,201182.985,2024-09-18 23:59:59.999,109823535.9459,510408,104124.67700000,56878897.80020000,0
2024-09-19,559.5,572.2,553.0,567.0,308427.742,2024-09-19 23:59:59.999,173555626.4165,558489,159138.29000000,89525211.65460000,0
2024-09-20,566.9,577.1,555.0,569.0,257077.709,2024-09-20 23:59:59.999,146299260.296,568811,128566.99400000,73190922.82870000,0
2024-09-21,569.1,590.0,566.4,588.6,208752.23,2024-09-21 23:59:59.999,121144029.985,399532,117387.89300000,68095101.49920000,0
2024-09-22,588.7,594.6,576.4,588.7,202978.791,2024-09-22 23:59:59.999,118527723.4824,418231,106161.36800000,62017516.57210000,0
2024-09-23,588.7,616.0,583.4,604.5,376010.207,2024-09-23 23:59:59.999,225838917.1862,659028,207878.54600000,124862780.75770000,0
2024-09-24,604.5,613.4,598.5,605.9,261622.131,2024-09-24 23:59:59.999,158406716.9744,565904,128330.00300000,77746137.64570000,0
2024-09-25,605.8,608.3,584.2,587.4,220793.948,2024-09-25 23:59:59.999,131577137.9882,447562,103334.17200000,61610721.07740000,0
2024-09-26,587.5,609.0,580.8,596.3,334337.474,2024-09-26 23:59:59.999,199000531.3556,646729,164202.41900000,97755734.67610000,0
2024-09-27,596.3,614.7,596.0,606.8,356901.64,2024-09-27 23:59:59.999,216600653.3691,639779,183915.11900000,111611796.73230000,0
2024-09-28,606.9,618.6,594.5,601.1,262593.381,2024-09-28 23:59:59.999,159074265.4612,469042,126538.93000000,76720055.72310000,0
2024-09-29,601.1,602.8,592.4,595.6,160103.084,2024-09-29 23:59:59.999,95653191.0634,328313,80456.12000000,48073936.19640000,0
2024-09-30,595.6,595.8,563.5,567.4,324086.737,2024-09-30 23:59:59.999,187098291.1132,704335,161689.32100000,93395442.38850000,0
2024-10-01,567.4,583.1,536.8,547.3,476372.945,2024-10-01 23:59:59.999,266084992.2632,1024113,226523.52800000,126778022.92450000,0
2024-10-02,547.2,558.3,535.4,542.5,282193.663,2024-10-02 23:59:59.999,154229595.0561,567076,138035.90200000,75550263.68990000,0
2024-10-03,542.5,550.8,534.3,544.8,220702.342,2024-10-03 23:59:59.999,119668355.7484,609573,108719.14500000,58982532.72940000,0
2024-10-04,544.8,557.8,541.8,555.3,186169.628,2024-10-04 23:59:59.999,102741705.8821,484523,102959.10900000,56839978.94690000,0
2024-10-05,555.3,565.2,551.6,563.0,124906.382,2024-10-05 23:59:59.999,70050933.4191,328254,60761.26600000,34078593.00210000,0
2024-10-06,563.0,571.9,561.1,570.3,106787.34,2024-10-06 23:59:59.999,60348493.1096,289826,55204.84600000,31211053.10980000,0
2024-10-07,570.4,581.8,563.5,564.3,213046.676,2024-10-07 23:59:59.999,122157732.7852,603464,105010.10500000,60250453.02340000,0
2024-10-08,564.4,586.8,559.5,580.8,286276.177,2024-10-08 23:59:59.999,164556094.6575,687832,145094.70600000,83413211.81470000,0
2024-10-09,580.8,586.0,566.2,570.7,324396.054,2024-10-09 23:59:59.999,187764600.0406,706841,154596.09500000,89492357.72990000,0
2024-10-10,570.8,572.9,551.5,563.9,178198.309,2024-10-10 23:59:59.999,100625398.3754,627366,83662.16400000,47242329.77080000,0
2024-10-11,563.8,577.5,560.1,573.6,185095.358,2024-10-11 23:59:59.999,105075683.8837,494403,93541.93000000,53121267.58700000,0
2024-10-12,573.7,579.2,573.6,576.6,135773.959,2024-10-12 23:59:59.999,78315432.7874,350037,69184.05100000,39905229.82230000,0
2024-10-13,576.6,578.5,564.9,572.2,118779.976,2024-10-13 23:59:59.999,67955148.4416,349095,55469.55900000,31738308.19180000,0
2024-10-14,572.3,592.3,558.9,589.1,252803.176,2024-10-14 23:59:59.999,147353933.5377,622130,130768.05500000,76269272.01600000,0
2024-10-15,589.0,599.9,577.7,594.5,324305.897,2024-10-15 23:59:59.999,191193163.4713,935703,163870.92600000,96649890.77330000,0
2024-10-16,594.6,605.5,589.7,600.9,259951.129,2024-10-16 23:59:59.999,155177541.6939,732070,140185.65200000,83719054.95340000,0
2024-10-17,601.0,606.3,589.0,592.0,146151.653,2024-10-17 23:59:59.999,87322609.736,463171,70579.43200000,42196726.26420000,0
