Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2024-09-17 18:30:00,61001.53,61040.0,60363.81,60540.17,842.67064,2024-09-17 18:59:59.999,51105726.552352,92376,370.60610000,22468749.63867030,0
2024-09-17 19:00:00,60540.17,60696.48,60312.0,60420.0,602.84658,2024-09-17 19:29:59.999,36479983.2512483,115625,254.96717000,15428639.51243250,0
2024-09-17 19:30:00,60419.99,60448.0,59618.26,59967.99,1509.20662,2024-09-17 19:59:59.999,90581179.2325547,206792,626.16312000,37568103.35906750,0
2024-09-17 20:00:00,59967.98,60210.27,59715.42,60184.15,1018.71827,2024-09-17 20:29:59.999,61105180.4010654,117681,554.74599000,33280948.04603660,0
2024-09-17 20:30:00,60184.15,60342.85,59980.0,60120.0,646.34324,2024-09-17 20:59:59.999,38864023.008151,90615,273.99492000,16476137.72856020,0
2024-09-17 21:00:00,60119.99,60368.38,60105.01,60322.0,303.09603,2024-09-17 21:29:59.999,18270459.5455165,45557,179.76155000,10835435.60639020,0
2024-09-17 21:30:00,60321.99,60424.25,60237.85,60334.07,359.59185,2024-09-17 21:59:59.999,21702803.8494014,39507,176.74063000,10667434.55231160,0
2024-09-17 22:00:00,60334.07,60340.0,60122.5,60179.01,258.80471,2024-09-17 22:29:59.999,15583530.1113384,61134,102.66241000,6180539.24592530,0
2024-09-17 22:30:00,60179.01,60343.99,60170.0,60240.01,165.57184,2024-09-17 22:59:59.999,9977504.3128881,33543,70.54522000,4251170.02716790,0
2024-09-17 23:00:00,60240.01,60240.01,60005.31,60163.99,302.59465,2024-09-17 23:29:59.999,18193561.969013,37541,146.83549000,8828932.66363270,0
2024-09-17 23:30:00,60163.99,60324.0,60140.0,60313.99,186.93273,2024-09-17 23:59:59.999,11263819.0556579,36015,120.82501000,7280583.32558870,0
2024-09-18 00:00:00,60313.99,60334.0,60000.0,60080.0,463.35424,2024-09-18 00:29:59.999,27863627.1064677,64932,176.92826000,10637166.15044870,0
2024-09-18 00:30:00,60080.0,60280.01,59854.6,60240.0,603.00706,2024-09-18 00:59:59.999,36236060.2482471,81705,325.99660000,19594810.93163920,0
2024-09-18 01:00:00,60240.01,60330.05,59988.41,60228.0,366.94009,2024-09-18 01:29:59.999,22076390.2469419,77615,190.95228000,11489153.87203410,0
2024-09-18 01:30:00,60227.99,60284.98,60043.9,60114.0,283.47238,2024-09-18 01:59:59.999,17054102.5899763,63126,150.06793000,9028679.01086690,0
2024-09-18 02:00:00,60114.0,60249.04,60073.09,60171.99,230.00901,2024-09-18 02:29:59.999,13837475.79394,33403,97.83896000,5885397.94839700,0
2024-09-18 02:30:00,60171.99,60361.0,60151.03,60352.0,225.13894,2024-09-18 02:59:59.999,13566993.874411,37159,143.76342000,8663168.47318780,0
2024-09-18 03:00:00,60352.0,60692.2,60348.51,60609.99,593.85249,2024-09-18 03:29:59.999,35943185.6090101,85501,334.64233000,20254238.00995900,0
2024-09-18 03:30:00,60609.99,60769.0,60505.37,60509.99,1226.06686,2024-09-18 03:59:59.999,74308948.2906354,55353,337.36621000,20451630.35132470,0
2024-09-18 04:00:00,60510.0,60689.62,60474.57,60634.19,326.61338,2024-09-18 04:29:59.999,19785952.7410976,46397,151.85290000,9197831.17034320,0
2024-09-18 04:30:00,60634.2,60640.26,60318.0,60429.99,277.89101,2024-09-18 04:59:59.999,16801719.8763004,51097,98.45452000,5950659.87345920,0
2024-09-18 05:00:00,60429.99,60429.99,60280.0,60358.01,193.5562,2024-09-18 05:29:59.999,11678520.4601043,38168,79.64118000,4804935.08388760,0
2024-09-18 05:30:00,60358.0,60360.0,60199.68,60241.07,227.46481,2024-09-18 05:59:59.999,13708910.4708033,36603,83.16034000,5012258.30002010,0
2024-09-18 06:00:00,60241.07,60365.16,60204.0,60299.99,188.96436,2024-09-18 06:29:59.999,11393480.1225526,31967,85.33460000,5144550.87120380,0
2024-09-18 06:30:00,60300.0,60488.96,60277.0,60453.99,190.04651,2024-09-18 06:59:59.999,11476368.9515391,40131,105.78014000,6386943.37991660,0
2024-09-18 07:00:00,60453.99,60541.65,60334.0,60415.37,205.12392,2024-09-18 07:29:59.999,12399807.5702538,37585,96.12552000,5811200.19538200,0
2024-09-18 07:30:00,60415.37,60486.0,60390.24,60428.01,223.66088,2024-09-18 07:59:59.999,13519530.5900419,33687,109.71288000,6631979.04245510,0
2024-09-18 08:00:00,60428.01,60428.01,60114.0,60164.92,392.66466,2024-09-18 08:29:59.999,23653962.800325,50443,145.75222000,8779223.07965750,0
2024-09-18 08:30:00,60164.92,60214.09,60086.54,60198.05,238.30423,2024-09-18 08:59:59.999,14336441.1203056,37233,100.48617000,6045468.18014320,0
2024-09-18 09:00:00,60198.05,60198.06,59899.91,59954.0,749.98589,2024-09-18 09:29:59.999,45008569.8184996,61944,343.77816000,20628647.14458240,0
2024-09-18 09:30:00,59954.0,59971.1,59654.77,59654.77,584.2465,2024-09-18 09:59:59.999,34963177.0989832,64077,250.88434000,15016187.61507630,0
2024-09-18 10:00:00,59654.76,59800.0,59348.88,59679.99,1598.91417,2024-09-18 10:29:59.999,95179233.037723,125182,952.08881000,56666119.69699930,0
2024-09-18 10:30:00,59679.99,59924.0,59648.02,59907.49,512.12317,2024-09-18 10:59:59.999,30632751.5865663,74516,330.98106000,19796220.21962220,0
2024-09-18 11:00:00,59907.5,59985.44,59835.44,59983.99,179.807,2024-09-18 11:29:59.999,10771589.618968,38032,98.90547000,5924920.29718410,0
2024-09-18 11:30:00,59983.99,60000.0,59821.81,59846.0,272.08541,2024-09-18 11:59:59.999,16302203.1848852,42854,123.53886000,7402505.04566760,0
2024-09-18 12:00:00,59846.0,59934.0,59689.57,59851.13,539.14649,2024-09-18 12:29:59.999,32246456.6865329,60776,278.31733000,16651181.18584590,0
2024-09-18 12:30:00,59851.13,60000.0,59851.13,59978.24,290.00093,2024-09-18 12:59:59.999,17379200.4109645,61992,178.20834000,10680292.56321580,0
2024-09-18 13:00:00,59978.24,60160.0,59820.03,59929.69,626.96183,2024-09-18 13:29:59.999,37615261.0496554,86363,299.37768000,17964331.23690190,0
2024-09-18 13:30:00,59929.69,59951.87,59308.61,59508.5,1293.81479,2024-09-18 13:59:59.999,77109818.1148109,179423,673.18067000,40126045.66682450,0
2024-09-18 14:00:00,59508.5,59699.0,59340.0,59635.39,744.19909,2024-09-18 14:29:59.999,44259901.9002329,152561,391.28334000,23276328.70564250,0
2024-09-18 14:30:00,59635.39,59776.0,59384.05,59487.6,631.94181,2024-09-18 14:59:59.999,37647540.8094966,116615,308.69012000,18393830.39180700,0
2024-09-18 15:00:00,59487.61,59757.06,59478.7,59606.06,500.10179,2024-09-18 15:29:59.999,29807138.353864,92029,251.11897000,14968462.62332970,0
2024-09-18 15:30:00,59606.06,59606.06,59320.0,59429.18,491.74267,2024-09-18 15:59:59.999,29227686.0277325,102311,214.61635000,12755425.93786130,0
2024-09-18 16:00:00,59429.19,59750.19,59174.8,59690.23,827.28912,2024-09-18 16:29:59.999,49198746.1778328,140280,418.01968000,24873982.75337560,0
