Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2024-09-18,2341.79,2376.14,2277.34,2374.75,292917.6008,2024-09-18 23:59:59.999,679856751.1710529,2555639,144167.24010000,334741394.02654900,0
2024-09-19,2374.74,2494.95,2372.6,2465.21,326746.032,2024-09-19 23:59:59.999,794820680.9950541,2862096,171108.47470000,416132368.00402700,0
2024-09-20,2465.21,2571.93,2437.31,2561.4,340754.5912,2024-09-20 23:59:59.999,864016608.115563,3241249,173101.71320000,438921107.76329400,0
2024-09-21,2561.4,2623.34,2528.97,2612.4,154757.8773,2024-09-21 23:59:59.999,396953470.51763105,1425778,78964.07040000,202638566.04465200,0
2024-09-22,2612.4,2632.57,2524.58,2581.0,214266.3257,2024-09-22 23:59:59.999,553059849.5533991,2067811,97837.05120000,252636983.57337800,0
2024-09-23,2580.99,2702.82,2539.49,2646.97,333282.0149,2024-09-23 23:59:59.999,883518257.199407,3492404,161782.11780000,428832914.20111200,0
2024-09-24,2646.98,2670.96,2591.56,2653.2,288600.0402,2024-09-24 23:59:59.999,760159619.9815341,2730471,140655.88960000,370558448.96591700,0
2024-09-25,2653.2,2673.5,2554.05,2579.95,220343.4293,2024-09-25 23:59:59.999,576100924.711546,2446589,103887.87840000,271731602.59947200,0
2024-09-26,2580.09,2666.22,2559.2,2632.26,278686.3573,2024-09-26 23:59:59.999,731881168.916695,2897463,139205.44730000,365580497.05442400,0
2024-09-27,2632.25,2728.6,2615.21,2694.43,281826.9792,2024-09-27 23:59:59.999,753233859.358672,2599262,151742.50930000,405576362.61347600,0
2024-09-28,2694.43,2704.35,2650.0,2675.21,137230.0342,2024-09-28 23:59:59.999,367299958.062676,1192804,65924.22020000,176467262.33616800,0
2024-09-29,2675.21,2683.7,2629.73,2657.62,160554.3146,2024-09-29 23:59:59.999,426486288.27627695,1417045,81486.00610000,216453626.08854400,0
2024-09-30,2657.62,2663.5,2575.0,2602.23,282475.7961,2024-09-30 23:59:59.999,738997897.579085,2684395,135231.59450000,353834770.00365100,0
2024-10-01,2602.24,2659.0,2414.0,2447.79,502828.6804,2024-10-01 23:59:59.999,1275068045.816548,4525442,241562.47160000,612727012.04731000,0
2024-10-02,2447.78,2499.0,2352.0,2364.1,317484.735,2024-10-02 23:59:59.999,772815459.366551,4299369,155763.84130000,379325012.46359800,0
2024-10-03,2364.09,2403.38,2310.0,2349.8,314635.9263,2024-10-03 23:59:59.999,739732809.481887,4096011,149299.04360000,351028567.52354300,0
2024-10-04,2349.8,2441.64,2339.15,2414.41,239383.017,2024-10-04 23:59:59.999,572627417.105369,2556302,121492.18760000,290635408.17503000,0
2024-10-05,2414.41,2428.23,2390.05,2414.66,103740.2316,2024-10-05 23:59:59.999,250133597.688322,1147501,49644.85370000,119740244.15091900,0
2024-10-06,2414.66,2457.8,2407.0,2440.03,105752.7096,2024-10-06 23:59:59.999,257213775.45288,1097106,56040.49420000,136283551.47355800,0
2024-10-07,2440.02,2521.0,2403.0,2422.71,300459.5407,2024-10-07 23:59:59.999,742163736.9669111,3081333,147053.19260000,363265506.41464900,0
2024-10-08,2422.7,2466.66,2401.18,2440.89,201358.3312,2024-10-08 23:59:59.999,490043095.024962,2240640,98699.06950000,240246242.02095800,0
2024-10-09,2440.88,2473.61,2351.42,2370.47,242082.2725,2024-10-09 23:59:59.999,586469983.393527,2569883,118607.67530000,287392550.52832000,0
2024-10-10,2370.47,2421.36,2330.66,2386.49,257862.9619,2024-10-10 23:59:59.999,614182044.949536,2734517,124649.16980000,296876662.88337700,0
2024-10-11,2386.49,2471.45,2381.86,2439.5,235441.2197,2024-10-11 23:59:59.999,572065403.741898,1913115,120079.05810000,291669006.34268800,0
2024-10-12,2439.49,2490.51,2434.35,2476.4,139637.5062,2024-10-12 23:59:59.999,343538957.820228,1058123,75635.47220000,186143651.98497400,0
2024-10-13,2476.4,2484.92,2436.4,2468.91,120022.8179,2024-10-13 23:59:59.999,295322793.084125,1032905,59760.37470000,147082675.32577100,0
2024-10-14,2468.92,2654.0,2443.39,2629.79,435900.1619,2024-10-14 23:59:59.999,1119084230.807938,2715025,229665.60470000,589781071.81532800,0
2024-10-15,2629.79,2688.6,2537.36,2607.41,416285.6663,2024-10-15 23:59:59.999,1083630113.139707,3306565,205576.51830000,535279891.16590100,0
2024-10-16,2607.41,2647.79,2588.67,2611.1,260322.4242,2024-10-16 23:59:59.999,681342662.41857,2813136,127407.66790000,333593643.09779300,0
2024-10-17,2611.1,2648.37,2583.5,2613.21,177200.313,2024-10-17 23:59:59.999,464145701.762558,1977614,88676.04420000,232347109.87706400,0
