Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2024-09-18,63.76,64.86,62.39,64.84,302989.047,2024-09-18 23:59:59.999,19303022.25037,161315,156584.14500000,9974313.13621000,0
2024-09-19,64.84,66.06,64.69,65.4,345158.431,2024-09-19 23:59:59.999,22553359.81068,161108,182758.49000000,11941726.62523000,0
2024-09-20,65.39,66.45,64.33,65.33,358959.114,2024-09-20 23:59:59.999,23510505.20551,215884,186276.58200000,12196398.94575000,0
2024-09-21,65.33,67.15,64.82,66.84,222813.661,2024-09-21 23:59:59.999,14733299.64507,141509,114957.23300000,7602437.32120000,0
2024-09-22,66.85,68.82,66.46,68.68,306313.854,2024-09-22 23:59:59.999,20637225.51611,202414,162740.28500000,10965624.84470000,0
2024-09-23,68.69,69.35,66.63,66.96,311939.213,2024-09-23 23:59:59.999,21130863.19101,164597,150935.15400000,10225096.06253000,0
2024-09-24,66.95,67.17,65.66,66.7,311050.764,2024-09-24 23:59:59.999,20688571.77219,160541,153418.00800000,10203932.77402000,0
2024-09-25,66.71,67.85,65.91,66.55,251370.126,2024-09-25 23:59:59.999,16806206.05028,152744,124431.29300000,8319272.17193000,0
2024-09-26,66.55,68.58,65.63,68.54,293448.78,2024-09-26 23:59:59.999,19826672.22612,167480,149515.42200000,10103925.67053000,0
2024-09-27,68.54,71.2,68.28,71.13,377138.733,2024-09-27 23:59:59.999,26299214.60101,221032,203746.62700000,14202446.38704000,0
2024-09-28,71.13,71.52,69.01,69.95,324204.131,2024-09-28 23:59:59.999,22748665.3731,171938,160808.04800000,11289819.95289000,0
2024-09-29,69.95,70.32,68.49,69.27,217931.548,2024-09-29 23:59:59.999,15129018.14594,155161,115520.24700000,8018936.91531000,0
2024-09-30,69.27,69.38,66.28,66.82,350738.257,2024-09-30 23:59:59.999,23669118.44155,212803,183926.40600000,12404984.22756000,0
2024-10-01,66.83,68.59,62.0,63.41,476778.203,2024-10-01 23:59:59.999,31139933.51307,268352,237147.77700000,15517531.25595000,0
2024-10-02,63.4,64.77,62.23,62.95,333252.431,2024-10-02 23:59:59.999,21146709.37912,218589,156119.79500000,9911728.46721000,0
2024-10-03,62.95,63.97,61.92,63.44,338510.319,2024-10-03 23:59:59.999,21374688.35301,203389,157250.90500000,9937006.10125000,0
2024-10-04,63.45,65.2,63.29,64.95,232700.151,2024-10-04 23:59:59.999,14984126.0422,151732,114974.48200000,7403266.38039000,0
2024-10-05,64.95,66.36,64.67,66.29,209580.313,2024-10-05 23:59:59.999,13758972.36857,153801,103648.17000000,6805282.24629000,0
2024-10-06,66.3,67.65,66.11,67.02,205595.558,2024-10-06 23:59:59.999,13797201.06102,161279,95079.83200000,6382514.64934000,0
2024-10-07,67.03,67.98,64.48,64.77,343005.628,2024-10-07 23:59:59.999,22741064.02065,284002,158814.07400000,10538672.39951000,0
2024-10-08,64.77,66.16,64.52,65.69,237887.624,2024-10-08 23:59:59.999,15569734.01114,152490,116146.95900000,7601043.17501000,0
2024-10-09,65.69,65.97,64.11,64.59,300940.046,2024-10-09 23:59:59.999,19616047.30471,148205,144116.73100000,9396213.96825000,0
2024-10-10,64.59,65.09,63.22,64.32,218900.38,2024-10-10 23:59:59.999,14093161.95964,129350,104624.31500000,6739248.77449000,0
2024-10-11,64.32,65.92,64.3,65.58,213209.345,2024-10-11 23:59:59.999,13915367.81768,111224,112430.33500000,7341993.48069000,0
2024-10-12,65.59,66.65,65.07,66.19,156600.646,2024-10-12 23:59:59.999,10354446.30537,107221,78317.83400000,5179370.23572000,0
2024-10-13,66.19,66.3,64.43,64.8,169832.939,2024-10-13 23:59:59.999,11074170.69253,114846,84874.64600000,5535605.91380000,0
2024-10-14,64.8,67.37,64.12,66.83,392472.567,2024-10-14 23:59:59.999,25974371.64683,175438,204125.42000000,13511549.60893000,0
2024-10-15,66.84,72.0,65.27,70.87,1052315.145,2024-10-15 23:59:59.999,72322277.26302,362785,552401.49500000,37959196.57359000,0
2024-10-16,70.87,73.07,69.32,70.08,659266.466,2024-10-16 23:59:59.999,46980891.2281,223400,328431.22900000,23408445.79599000,0
2024-10-17,70.08,72.68,69.87,72.38,339467.349,2024-10-17 23:59:59.999,24207731.32535,97550,163571.52500000,11664558.38954000,0
