Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2024-09-17 18:30:00,63.59,63.59,63.14,63.36,6423.487,2024-09-17 18:59:59.999,406936.60065,3721,2554.65600000,161809.77624000,0
2024-09-17 19:00:00,63.36,63.41,63.22,63.4,3244.87,2024-09-17 19:29:59.999,205478.59122,2471,1016.73900000,64384.78035000,0
2024-09-17 19:30:00,63.4,63.4,62.77,63.23,6934.697,2024-09-17 19:59:59.999,437564.75962,4291,3774.22100000,238044.60158000,0
2024-09-17 20:00:00,63.22,63.36,63.0,63.36,4274.826,2024-09-17 20:29:59.999,270222.53627,3001,2095.13700000,132456.33002000,0
2024-09-17 20:30:00,63.36,63.48,63.26,63.41,5514.638,2024-09-17 20:59:59.999,349486.51443,2757,2861.97300000,181348.30857000,0
2024-09-17 21:00:00,63.42,63.64,63.4,63.62,3322.545,2024-09-17 21:29:59.999,211074.06299,1867,2027.30700000,128808.78368000,0
2024-09-17 21:30:00,63.62,63.65,63.48,63.63,2935.705,2024-09-17 21:59:59.999,186593.52886,2760,1015.38000000,64543.69863000,0
2024-09-17 22:00:00,63.62,63.62,63.29,63.32,4685.981,2024-09-17 22:29:59.999,297656.69931,2621,2219.13400000,140958.00488000,0
2024-09-17 22:30:00,63.32,63.6,63.28,63.58,3147.691,2024-09-17 22:59:59.999,199829.49334,1687,1977.46000000,125567.46326000,0
2024-09-17 23:00:00,63.59,63.59,63.4,63.54,1995.448,2024-09-17 23:29:59.999,126693.28689,1466,1105.66700000,70198.86996000,0
2024-09-17 23:30:00,63.54,63.8,63.52,63.77,3825.413,2024-09-17 23:59:59.999,243721.28681,1769,1855.29400000,118166.62766000,0
2024-09-18 00:00:00,63.76,63.89,63.5,63.66,7713.259,2024-09-18 00:29:59.999,491445.67983,2991,3041.68500000,193845.00843000,0
2024-09-18 00:30:00,63.65,63.83,63.31,63.74,5744.971,2024-09-18 00:59:59.999,365364.88111,3054,3921.89100000,249455.31578000,0
2024-09-18 01:00:00,63.74,63.76,63.47,63.61,2927.097,2024-09-18 01:29:59.999,186116.94512,2399,650.80100000,41380.56380000,0
2024-09-18 01:30:00,63.62,63.7,63.46,63.7,1820.564,2024-09-18 01:59:59.999,115774.04816,1735,852.94600000,54243.98751000,0
2024-09-18 02:00:00,63.69,63.94,63.65,63.93,4561.709,2024-09-18 02:29:59.999,291028.65956,2671,2135.17900000,136238.25475000,0
2024-09-18 02:30:00,63.93,64.27,63.84,64.25,4893.307,2024-09-18 02:59:59.999,313639.41442,2931,2900.54100000,185904.07232000,0
2024-09-18 03:00:00,64.24,64.35,64.13,64.26,5971.906,2024-09-18 03:29:59.999,383604.62116,3012,3627.41200000,232998.19182000,0
2024-09-18 03:30:00,64.26,64.31,64.11,64.17,3836.669,2024-09-18 03:59:59.999,246383.16476,2174,2235.74400000,143559.26608000,0
2024-09-18 04:00:00,64.17,64.23,64.06,64.1,2514.17,2024-09-18 04:29:59.999,161252.486,1672,956.66300000,61360.85182000,0
2024-09-18 04:30:00,64.09,64.09,63.82,63.92,5328.375,2024-09-18 04:59:59.999,340791.73161,2038,2345.43400000,150012.37525000,0
2024-09-18 05:00:00,63.92,63.92,63.7,63.83,2659.741,2024-09-18 05:29:59.999,169655.60357,1885,963.19700000,61444.43842000,0
2024-09-18 05:30:00,63.83,63.83,63.54,63.65,3553.392,2024-09-18 05:59:59.999,226143.47215,2178,1308.22100000,83253.49068000,0
2024-09-18 06:00:00,63.64,63.88,63.57,63.87,4467.013,2024-09-18 06:29:59.999,284660.39799,2003,2372.38800000,151194.24249000,0
2024-09-18 06:30:00,63.87,63.97,63.71,63.86,4168.567,2024-09-18 06:59:59.999,266163.08204,2109,1827.60000000,116745.63278000,0
2024-09-18 07:00:00,63.85,64.08,63.84,64.07,2788.476,2024-09-18 07:29:59.999,178428.32842,1713,2087.27000000,133565.59393000,0
