Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2024-09-17 20:00:00,63.22,63.8,63.0,63.77,29702.247,2024-09-17 23:59:59.999,1885277.4089,17928,15157.35200000,962048.08666000,0
2024-09-18 00:00:00,63.76,64.35,63.31,64.17,37469.482,2024-09-18 03:59:59.999,2393357.41412,20967,19366.19900000,1237624.66049000,0
2024-09-18 04:00:00,64.17,64.23,63.54,64.12,28080.609,2024-09-18 07:59:59.999,1793804.35709,14929,13347.62500000,852884.86250000,0
2024-09-18 08:00:00,64.12,64.12,63.27,63.42,48562.931,2024-09-18 11:59:59.999,3092690.21345,24927,24319.50200000,1548684.98295000,0
2024-09-18 12:00:00,63.43,63.43,62.39,62.66,55524.972,2024-09-18 15:59:59.999,3493227.93542,29382,30001.31500000,1887905.71852000,0
2024-09-18 16:00:00,62.66,64.47,62.43,63.95,78442.53,2024-09-18 19:59:59.999,5002816.60445,45428,43877.92700000,2798219.44716000,0
2024-09-18 20:00:00,63.96,64.86,63.67,64.84,54908.523,2024-09-18 23:59:59.999,3527125.72584,25682,25671.57700000,1648993.46459000,0
2024-09-19 00:00:00,64.84,65.48,64.71,64.94,60475.75,2024-09-19 03:59:59.999,3932855.25758,25303,32347.44300000,2103488.05698000,0
2024-09-19 04:00:00,64.94,65.36,64.69,65.27,36335.983,2024-09-19 07:59:59.999,2360547.85742,15352,18983.78100000,1233375.68972000,0
2024-09-19 08:00:00,65.27,65.69,64.86,65.65,85496.652,2024-09-19 11:59:59.999,5579234.65881,23664,47819.43700000,3120491.03904000,0
2024-09-19 12:00:00,65.65,65.93,65.08,65.35,64020.445,2024-09-19 15:59:59.999,4191193.93826,35838,32784.55300000,2146310.14632000,0
2024-09-19 16:00:00,65.35,66.06,65.23,65.63,60816.418,2024-09-19 19:59:59.999,3998001.63763,34552,31971.24700000,2102312.59014000,0
2024-09-19 20:00:00,65.63,65.82,65.27,65.4,38013.183,2024-09-19 23:59:59.999,2491526.46098,26399,18852.02900000,1235749.10303000,0
2024-09-20 00:00:00,65.39,65.96,64.85,65.95,57045.663,2024-09-20 03:59:59.999,3722870.59107,29557,29626.00900000,1933370.56228000,0
2024-09-20 04:00:00,65.95,66.45,65.77,66.23,67954.829,2024-09-20 07:59:59.999,4495788.9888,37626,33467.78900000,2215073.69345000,0
2024-09-20 08:00:00,66.24,66.36,65.79,65.94,44573.679,2024-09-20 11:59:59.999,2945678.94262,29793,20726.95300000,1369923.87454000,0
2024-09-20 12:00:00,65.94,66.29,64.61,64.97,80805.33,2024-09-20 15:59:59.999,5281035.78813,56554,37706.92700000,2463728.21827000,0
2024-09-20 16:00:00,64.97,65.82,64.33,65.81,73876.49,2024-09-20 19:59:59.999,4798793.19076,42026,48428.30700000,3148279.56384000,0
2024-09-20 20:00:00,65.82,65.83,65.11,65.33,34703.123,2024-09-20 23:59:59.999,2266337.70413,20328,16320.59700000,1066023.03337000,0
2024-09-21 00:00:00,65.33,65.58,64.86,65.31,29723.766,2024-09-21 03:59:59.999,1940023.89637,20635,14326.23300000,935008.92156000,0
2024-09-21 04:00:00,65.31,65.78,64.82,65.72,26440.641,2024-09-21 07:59:59.999,1727021.52916,16414,15286.17500000,999129.57921000,0
2024-09-21 08:00:00,65.72,65.99,65.46,65.67,28662.999,2024-09-21 11:59:59.999,1884549.56438,18796,13303.33500000,874633.95002000,0
2024-09-21 12:00:00,65.67,66.72,65.63,66.65,51605.049,2024-09-21 15:59:59.999,3418051.26038,27390,27670.24100000,1832510.03234000,0
2024-09-21 16:00:00,66.66,67.0,66.37,66.95,55399.187,2024-09-21 19:59:59.999,3695693.94156,33641,28648.04300000,1911179.78858000,0
2024-09-21 20:00:00,66.95,67.15,66.44,66.84,30982.019,2024-09-21 23:59:59.999,2067959.45322,24633,15723.20600000,1049975.04949000,0
2024-09-22 00:00:00,66.85,67.37,66.54,67.35,43211.709,2024-09-22 03:59:59.999,2894465.88497,34272,23491.09900000,1573817.90515000,0
2024-09-22 04:00:00,67.34,67.55,66.83,67.17,35313.048,2024-09-22 07:59:59.999,2372488.79937,24295,18420.32900000,1237617.58769000,0
2024-09-22 08:00:00,67.17,67.56,66.8,67.24,40528.773,2024-09-22 11:59:59.999,2722785.24213,31462,21744.75300000,1461149.64200000,0
2024-09-22 12:00:00,67.25,67.56,66.62,66.86,50464.678,2024-09-22 15:59:59.999,3386498.35867,31758,25564.52900000,1715821.79888000,0
