Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2024-09-17 20:00:00,0.5891,0.5895,0.5868,0.5871,9276245.0,2024-09-17 21:59:59.999,5457335.648,26078,4668942.00000000,2746964.10270000,0
2024-09-17 22:00:00,0.587,0.5871,0.5833,0.5839,8741025.0,2024-09-17 23:59:59.999,5110555.3248,20786,4218037.00000000,2466368.17360000,0
2024-09-18 00:00:00,0.5838,0.5838,0.5757,0.5764,20242232.0,2024-09-18 01:59:59.999,11736217.3216,43389,10819823.00000000,6271775.23490000,0
2024-09-18 02:00:00,0.5763,0.5823,0.5761,0.5805,9275621.0,2024-09-18 03:59:59.999,5383556.1965,29799,5130266.00000000,2976821.39690000,0
2024-09-18 04:00:00,0.5805,0.5819,0.5779,0.5798,7444735.0,2024-09-18 05:59:59.999,4315575.1445,25244,3194611.00000000,1851704.44090000,0
2024-09-18 06:00:00,0.5798,0.5798,0.5753,0.5777,15603505.0,2024-09-18 07:59:59.999,9011223.5499,31821,6711692.00000000,3875809.54280000,0
2024-09-18 08:00:00,0.5778,0.5783,0.5729,0.573,12883950.0,2024-09-18 09:59:59.999,7415187.7956,28212,5353323.00000000,3080495.88440000,0
2024-09-18 10:00:00,0.573,0.5744,0.5696,0.5729,22045435.0,2024-09-18 11:59:59.999,12609341.3105,44832,9821818.00000000,5617984.84560000,0
2024-09-18 12:00:00,0.573,0.5731,0.5665,0.5675,16796296.0,2024-09-18 13:59:59.999,9573954.9988,41873,7195070.00000000,4101032.83670000,0
2024-09-18 14:00:00,0.5675,0.5699,0.562,0.5644,21858330.0,2024-09-18 15:59:59.999,12388949.7093,56684,10456012.00000000,5926620.93380000,0
2024-09-18 16:00:00,0.5644,0.5717,0.5636,0.5709,13823690.0,2024-09-18 17:59:59.999,7843094.0043,42362,7206694.00000000,4090204.30920000,0
2024-09-18 18:00:00,0.5708,0.5816,0.5697,0.5749,43775638.0,2024-09-18 19:59:59.999,25219778.86,182333,21818127.00000000,12569943.64500000,0
2024-09-18 20:00:00,0.5748,0.5814,0.5713,0.5789,11247180.0,2024-09-18 21:59:59.999,6488916.5305,37227,6160978.00000000,3554012.50430000,0
2024-09-18 22:00:00,0.5789,0.5858,0.5788,0.5852,9822028.0,2024-09-18 23:59:59.999,5724538.0222,23941,4564419.00000000,2660683.45580000,0
2024-09-19 00:00:00,0.5852,0.5899,0.581,0.5832,30607955.0,2024-09-19 01:59:59.999,17923635.9266,71772,18525803.00000000,10847320.16940000,0
2024-09-19 02:00:00,0.5832,0.5882,0.5823,0.5853,12104731.0,2024-09-19 03:59:59.999,7089075.8719,29735,5961854.00000000,3490418.85820000,0
2024-09-19 04:00:00,0.5854,0.5885,0.5847,0.5856,9273614.0,2024-09-19 05:59:59.999,5438994.0722,25513,4541126.00000000,2664067.25340000,0
2024-09-19 06:00:00,0.5855,0.5857,0.5823,0.585,15581237.0,2024-09-19 07:59:59.999,9092533.7103,34475,7303014.00000000,4261726.92170000,0
2024-09-19 08:00:00,0.585,0.5865,0.5813,0.5819,12527191.0,2024-09-19 09:59:59.999,7308778.741,23047,6733701.00000000,3929249.77400000,0
2024-09-19 10:00:00,0.5819,0.5873,0.5815,0.5857,32904944.0,2024-09-19 11:59:59.999,19226807.2553,46200,16803377.00000000,9818415.35330000,0
2024-09-19 12:00:00,0.5857,0.5889,0.5834,0.5855,23131815.0,2024-09-19 13:59:59.999,13568167.3987,57503,11477972.00000000,6733259.89230000,0
2024-09-19 14:00:00,0.5856,0.593,0.5842,0.5861,26761277.0,2024-09-19 15:59:59.999,15751804.0522,73122,13849349.00000000,8152438.14260000,0
2024-09-19 16:00:00,0.5861,0.5945,0.5856,0.5924,27111832.0,2024-09-19 17:59:59.999,16023271.7815,65602,11002012.00000000,6501409.79290000,0
2024-09-19 18:00:00,0.5925,0.5936,0.5889,0.5897,10597910.0,2024-09-19 19:59:59.999,6266879.3847,39463,4442463.00000000,2627574.33790000,0
2024-09-19 20:00:00,0.5896,0.5934,0.5871,0.5874,11400499.0,2024-09-19 21:59:59.999,6732063.3052,27729,5432052.00000000,3206538.67660000,0
2024-09-19 22:00:00,0.5873,0.5903,0.585,0.5868,10333922.0,2024-09-19 23:59:59.999,6066330.1627,33401,4678500.00000000,2746063.08270000,0
2024-09-20 00:00:00,0.5868,0.5878,0.577,0.5809,26082249.0,2024-09-20 01:59:59.999,15174007.5761,54016,13654339.00000000,7941941.13070000,0
2024-09-20 02:00:00,0.5809,0.5885,0.5799,0.5885,11712245.0,2024-09-20 03:59:59.999,6833172.1494,36831,6768599.00000000,3948980.92970000,0
2024-09-20 04:00:00,0.5884,0.593,0.5876,0.5904,19717682.0,2024-09-20 05:59:59.999,11631528.1541,58040,8786444.00000000,5183905.25600000,0
